timeframe,profile,rr,time_stop_min,closed,wins,losses,win_rate,profit_factor,expectancy,max_drawdown,test_pf,test_expectancy,monte_carlo_risk_of_ruin,monte_carlo_drawdown_p95,institutional_score,recommendation,candidate,pass_fail_reasons,broker_touched,order_executed
H1,capital_preservation_v1,1.2,15.0,17,8,9,47.06,0.7876,-0.0357,3345.1708,2.5626,0.1667,0.145,6322.2816,-248.5946,reject,False,sample_too_small;pf_below_1_20;expectancy_not_positive;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
H1,capital_preservation_v1,1.2,30.0,17,8,9,47.06,0.7876,-0.0357,3345.1708,2.5626,0.1667,0.145,6322.2816,-248.5946,reject,False,sample_too_small;pf_below_1_20;expectancy_not_positive;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
H1,capital_preservation_v1,1.2,60.0,17,8,9,47.06,0.7876,-0.0357,3345.1708,2.5626,0.1667,0.145,6322.2816,-248.5946,reject,False,sample_too_small;pf_below_1_20;expectancy_not_positive;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M15,rsi_reversal_v2_confirmed,1.0,30.0,6,2,4,33.33,0.949,-0.0171,1026.60615,0.0,0.0,0.004,3494.0423,-249.1826,reject,False,sample_too_small;pf_below_1_20;expectancy_not_positive;win_rate_below_45;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
H1,low_drawdown_v1,1.2,15.0,29,13,16,44.83,1.0021,0.0156,3478.1508,1.7437,0.1027,0.171,6571.2051,-251.9749,reject,False,sample_too_small;pf_below_1_20;win_rate_below_45;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
H1,low_drawdown_v1,1.2,30.0,29,13,16,44.83,1.0021,0.0156,3478.1508,1.7437,0.1027,0.171,6571.2051,-251.9749,reject,False,sample_too_small;pf_below_1_20;win_rate_below_45;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
H1,low_drawdown_v1,1.2,60.0,29,13,16,44.83,1.0021,0.0156,3478.1508,1.7437,0.1027,0.171,6571.2051,-251.9749,reject,False,sample_too_small;pf_below_1_20;win_rate_below_45;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,quality_v3_conservative,1.0,15.0,28,12,16,42.86,1.0334,0.013,2639.38,0.0,-0.1557,0.105,6192.65495,-258.6742,reject,False,sample_too_small;pf_below_1_20;win_rate_below_45;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,quality_v3_conservative,1.0,30.0,28,12,16,42.86,1.0334,0.013,2639.38,0.0,-0.1557,0.105,6192.65495,-258.6742,reject,False,sample_too_small;pf_below_1_20;win_rate_below_45;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,anti_chop_v2_safe,1.5,15.0,37,16,21,43.24,1.0762,0.0219,3226.08,0.6931,-0.0329,0.174,7006.0133,-260.652,reject,False,sample_too_small;pf_below_1_20;win_rate_below_45;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,anti_chop_v2_safe,1.5,30.0,37,16,21,43.24,1.0762,0.0219,3226.08,0.6931,-0.0329,0.174,7006.0133,-260.652,reject,False,sample_too_small;pf_below_1_20;win_rate_below_45;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,trend_v2_drawdown_guard,1.5,15.0,37,16,21,43.24,1.0762,0.0219,3226.08,0.6931,-0.0329,0.174,7006.0133,-260.652,reject,False,sample_too_small;pf_below_1_20;win_rate_below_45;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,trend_v2_drawdown_guard,1.5,30.0,37,16,21,43.24,1.0762,0.0219,3226.08,0.6931,-0.0329,0.174,7006.0133,-260.652,reject,False,sample_too_small;pf_below_1_20;win_rate_below_45;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,anti_chop_v2_safe,1.2,15.0,37,16,21,43.24,1.0649,0.0196,3226.08,0.6931,-0.0329,0.169,6841.17673,-263.853,reject,False,sample_too_small;pf_below_1_20;win_rate_below_45;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,anti_chop_v2_safe,1.2,30.0,37,16,21,43.24,1.0649,0.0196,3226.08,0.6931,-0.0329,0.169,6841.17673,-263.853,reject,False,sample_too_small;pf_below_1_20;win_rate_below_45;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,trend_v2_drawdown_guard,1.2,15.0,37,16,21,43.24,1.0649,0.0196,3226.08,0.6931,-0.0329,0.169,6841.17673,-263.853,reject,False,sample_too_small;pf_below_1_20;win_rate_below_45;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,trend_v2_drawdown_guard,1.2,30.0,37,16,21,43.24,1.0649,0.0196,3226.08,0.6931,-0.0329,0.169,6841.17673,-263.853,reject,False,sample_too_small;pf_below_1_20;win_rate_below_45;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
H1,quality_v3_conservative,1.5,15.0,44,18,26,40.91,1.0944,0.0297,4057.1108,1.4219,0.0818,0.28,7881.4125,-267.0979,reject,False,sample_too_small;pf_below_1_20;win_rate_below_45;first_half_pf_below_1;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
H1,quality_v3_conservative,1.5,30.0,44,18,26,40.91,1.0944,0.0297,4057.1108,1.4219,0.0818,0.28,7881.4125,-267.0979,reject,False,sample_too_small;pf_below_1_20;win_rate_below_45;first_half_pf_below_1;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
